Date	Open	High	Low	Close*	Adj Close**	Volume
Nov 25, 2022	67.13	67.61	66.74	67.15	67.15	605,000
Nov 23, 2022	66.45	67.73	66.45	67.13	67.13	1,170,100
Nov 22, 2022	66.16	66.63	65.87	66.52	66.52	1,876,600
Nov 21, 2022	65.56	66.25	65.19	65.96	65.96	1,468,600
Nov 18, 2022	65.49	65.64	64.64	65.52	65.52	3,452,500
Nov 17, 2022	64.85	65.08	64.06	64.86	64.86	1,414,200
Nov 16, 2022	64.86	65.69	64.86	65.36	65.36	1,303,900
Nov 15, 2022	66.71	66.99	64.46	64.79	64.79	2,372,200
Nov 14, 2022	66.06	67.12	65.68	66.04	66.04	1,824,300
Nov 11, 2022	66.53	66.90	65.94	66.40	66.40	1,797,200
Nov 10, 2022	65.25	66.34	64.54	66.21	66.21	2,351,800
Nov 09, 2022	64.51	65.25	63.47	63.61	63.61	3,020,100
Nov 08, 2022	62.86	65.66	62.53	64.57	64.57	3,369,700
Nov 07, 2022	62.09	62.45	61.50	62.41	62.41	2,047,500
Nov 04, 2022	61.96	62.12	60.60	61.90	61.90	1,665,800
Nov 03, 2022	60.26	62.21	60.21	61.57	61.57	1,805,600
Nov 02, 2022	61.81	62.75	60.70	60.72	60.72	1,857,400
Nov 01, 2022	62.57	62.97	61.80	62.35	62.35	1,724,500
Oct 31, 2022	62.00	62.52	61.85	62.24	62.24	2,623,800
Oct 28, 2022	60.82	62.33	60.42	62.28	62.28	1,583,000
Oct 27, 2022	60.39	61.45	60.38	60.65	60.65	1,643,500
Oct 26, 2022	60.68	61.16	59.94	60.03	60.03	2,428,600
Oct 25, 2022	59.15	60.68	59.13	60.55	60.55	2,134,200
Oct 24, 2022	58.04	59.48	57.93	58.77	58.77	1,507,000
Oct 21, 2022	56.86	57.85	56.02	57.74	57.74	2,378,100
Oct 20, 2022	56.19	57.12	55.94	56.84	56.84	2,137,100
Oct 19, 2022	56.97	57.47	55.50	56.00	56.00	2,630,600
Oct 18, 2022	57.84	58.13	56.77	57.21	57.21	2,807,000
Oct 17, 2022	55.47	57.40	55.47	56.75	56.75	2,744,500
Oct 14, 2022	57.97	58.21	54.66	54.75	54.75	3,426,300
Oct 13, 2022	56.44	58.68	55.82	58.55	58.55	2,262,900
Oct 12, 2022	58.14	58.25	57.56	57.58	57.58	1,241,800
Oct 11, 2022	57.59	58.71	57.32	58.10	58.10	1,906,000
Oct 10, 2022	57.93	58.00	57.12	57.70	57.70	1,154,800
Oct 07, 2022	58.98	59.10	57.31	57.66	57.66	1,523,200
Oct 06, 2022	59.70	60.40	59.42	59.51	59.51	1,510,300
Oct 05, 2022	59.45	60.30	58.96	59.72	59.72	1,911,100
Oct 04, 2022	59.22	59.97	59.01	59.90	59.90	1,810,900
Oct 03, 2022	56.97	58.40	56.60	58.33	58.33	1,863,200
Sep 30, 2022	57.29	58.04	56.51	56.68	56.68	2,021,500
Sep 29, 2022	57.96	58.03	56.79	57.11	57.11	2,177,000
Sep 28, 2022	57.25	58.59	56.91	58.32	58.32	2,006,400
Sep 27, 2022	57.01	57.31	56.37	56.96	56.96	1,697,500
Sep 26, 2022	56.90	57.14	56.29	56.57	56.57	1,772,000
Sep 23, 2022	57.10	57.28	56.20	56.93	56.93	1,921,000
Sep 22, 2022	58.28	58.37	56.89	57.40	57.40	1,793,400
Sep 21, 2022	59.71	60.42	58.57	58.57	58.57	1,813,000
Sep 20, 2022	60.37	60.57	58.80	59.20	59.20	1,967,700
Sep 19, 2022	60.51	60.83	60.21	60.73	60.73	1,473,000
Sep 16, 2022	61.04	61.15	60.14	61.01	61.01	3,536,900
Sep 15, 2022	61.80	62.21	61.03	61.11	61.11	1,477,000
Sep 14, 2022	62.31	62.86	61.46	62.03	61.83	1,677,800
Sep 13, 2022	62.87	63.03	61.55	61.85	61.65	1,615,400
Sep 12, 2022	63.49	64.13	63.21	64.11	63.90	1,693,700
Sep 09, 2022	63.10	63.58	63.00	63.26	63.06	1,276,800
Sep 08, 2022	62.02	63.14	61.98	63.09	62.89	2,154,700
Sep 07, 2022	60.66	62.46	60.66	62.42	62.22	1,724,600
Sep 06, 2022	59.75	60.66	59.54	60.62	60.42	1,972,600
Sep 02, 2022	60.41	61.25	59.50	59.68	59.49	1,570,600
Sep 01, 2022	59.03	60.06	58.80	59.99	59.80	1,881,900
Aug 31, 2022	59.90	60.26	59.34	59.53	59.34	3,367,400
Aug 30, 2022	60.16	60.45	59.37	59.60	59.41	2,037,700
Aug 29, 2022	60.32	60.82	59.64	59.70	59.51	1,743,000
Aug 26, 2022	62.41	62.57	60.67	60.69	60.49	1,778,400
Aug 25, 2022	62.12	62.55	61.87	62.40	62.20	992,700
Aug 24, 2022	61.48	62.22	61.44	62.07	61.87	2,077,500
Aug 23, 2022	61.39	61.80	61.04	61.44	61.24	1,870,200
Aug 22, 2022	62.04	62.59	61.69	61.94	61.74	1,828,500
Aug 19, 2022	63.45	63.45	62.12	62.37	62.17	2,967,900
Aug 18, 2022	64.47	64.66	63.54	64.04	63.83	1,774,200
Aug 17, 2022	63.79	64.79	63.64	64.59	64.39	1,908,000
Aug 16, 2022	63.90	63.98	63.16	63.86	63.66	1,927,800
Aug 15, 2022	63.25	64.78	63.00	63.98	63.78	2,126,100
Aug 12, 2022	62.79	63.51	62.41	63.47	63.27	1,431,900
Aug 11, 2022	62.42	62.66	61.98	62.19	61.99	1,325,400
Aug 10, 2022	61.76	62.42	61.68	62.20	62.00	2,002,500
Aug 09, 2022	60.80	61.17	60.67	61.06	60.86	1,349,700
Aug 08, 2022	60.70	61.32	60.58	60.95	60.75	1,031,400
Aug 05, 2022	60.50	60.94	60.14	60.69	60.49	1,461,300
Aug 04, 2022	60.24	61.04	60.22	60.93	60.73	1,961,100
Aug 03, 2022	59.69	60.24	59.46	60.06	59.86	1,860,000
Aug 02, 2022	59.39	59.90	59.06	59.56	59.37	2,003,400
Aug 01, 2022	59.76	60.27	59.43	59.62	59.43	1,902,600
Jul 29, 2022	59.72	60.45	59.56	60.30	60.11	2,257,500
Jul 28, 2022	58.14	60.09	57.97	59.81	59.61	3,229,200
Jul 27, 2022	57.99	58.33	57.61	58.00	57.81	2,544,000
Jul 26, 2022	56.96	57.76	56.67	57.67	57.48	3,321,000
Jul 25, 2022	57.58	58.00	56.93	57.33	57.15	2,984,100
Jul 22, 2022	58.02	58.30	57.16	57.53	57.35	4,148,700
Jul 21, 2022	56.53	58.02	56.14	58.00	57.81	3,719,700
Jul 20, 2022	54.18	56.66	54.17	56.35	56.16	4,931,700
Jul 19, 2022	52.16	53.28	51.98	53.11	52.94	2,206,800
Jul 18, 2022	52.59	52.82	51.43	51.59	51.43	2,061,300
Jul 15, 2022	51.43	52.36	51.43	52.36	52.19	1,929,000
Jul 14, 2022	50.77	51.34	50.51	51.17	51.01	1,887,600
Jul 13, 2022	50.79	51.75	50.77	51.45	51.28	1,594,200
Jul 12, 2022	52.59	53.32	51.44	51.59	51.42	3,583,500
Jul 11, 2022	52.01	52.77	51.81	52.54	52.37	1,981,800
Jul 08, 2022	52.15	52.49	51.79	52.19	52.02	2,105,400
Jul 07, 2022	52.17	52.63	51.93	52.23	52.06	2,158,800
Jul 06, 2022	52.74	53.31	52.16	52.26	52.09	2,733,600
Jul 05, 2022	51.67	52.58	51.20	52.50	52.33	2,408,700
Jul 01, 2022	50.77	52.04	50.66	51.86	51.70	2,646,900
Jun 30, 2022	50.52	51.35	50.33	50.85	50.68	2,358,000
Jun 29, 2022	51.52	51.67	50.63	51.02	50.86	2,322,300
Jun 28, 2022	52.64	53.11	51.52	51.55	51.39	1,933,200
Jun 27, 2022	53.27	53.32	52.50	52.64	52.47	2,247,000
Jun 24, 2022	53.04	53.33	52.61	53.09	52.92	4,764,000
