Date	Open	High	Low	Close*	Adj Close**	Volume
Nov 25, 2022	2,207.53	2,213.24	2,205.44	2,209.23	2,209.23	-
Nov 23, 2022	2,194.62	2,212.86	2,194.02	2,209.26	2,209.26	-
Nov 22, 2022	2,171.77	2,196.92	2,169.92	2,195.82	2,195.82	-
Nov 21, 2022	2,172.06	2,173.07	2,157.86	2,166.34	2,166.34	-
Nov 18, 2022	2,177.55	2,184.96	2,159.75	2,175.76	2,175.76	-
Nov 17, 2022	2,161.21	2,170.07	2,144.34	2,165.92	2,165.92	-
Nov 16, 2022	2,191.95	2,191.95	2,172.41	2,174.64	2,174.64	-
Nov 15, 2022	2,191.08	2,214.88	2,175.47	2,195.73	2,195.73	-
Nov 14, 2022	2,189.99	2,203.30	2,174.20	2,174.55	2,174.55	-
Nov 11, 2022	2,177.04	2,200.80	2,169.39	2,195.85	2,195.85	-
Nov 10, 2022	2,102.31	2,174.64	2,102.31	2,173.72	2,173.72	-
Nov 09, 2022	2,093.32	2,094.08	2,053.89	2,056.26	2,056.26	-
Nov 08, 2022	2,095.75	2,119.10	2,078.49	2,101.12	2,101.12	-
Nov 07, 2022	2,077.07	2,093.20	2,067.19	2,089.50	2,089.50	-
Nov 04, 2022	2,067.19	2,084.66	2,036.88	2,070.30	2,070.30	-
Nov 03, 2022	2,049.59	2,062.06	2,032.11	2,045.03	2,045.03	-
Nov 02, 2022	2,117.28	2,139.80	2,065.78	2,066.23	2,066.23	-
Nov 01, 2022	2,141.92	2,151.14	2,114.66	2,121.00	2,121.00	-
Oct 31, 2022	2,132.62	2,140.47	2,123.73	2,128.36	2,128.36	-
Oct 28, 2022	2,100.46	2,145.78	2,095.01	2,143.66	2,143.66	-
Oct 27, 2022	2,111.35	2,122.81	2,092.24	2,094.09	2,094.09	-
Oct 26, 2022	2,108.57	2,136.83	2,102.19	2,105.58	2,105.58	-
Oct 25, 2022	2,084.11	2,122.56	2,084.11	2,120.64	2,120.64	-
Oct 24, 2022	2,068.06	2,090.66	2,053.45	2,083.77	2,083.77	-
Oct 21, 2022	2,013.92	2,063.72	2,005.68	2,061.13	2,061.13	-
Oct 20, 2022	2,031.53	2,053.40	2,009.51	2,014.63	2,014.63	-
Oct 19, 2022	2,040.26	2,049.90	2,015.33	2,030.45	2,030.45	-
Oct 18, 2022	2,041.85	2,069.42	2,029.08	2,047.06	2,047.06	-
Oct 17, 2022	1,986.31	2,029.24	1,986.31	2,022.99	2,022.99	-
Oct 14, 2022	2,031.71	2,041.17	1,967.75	1,969.38	1,969.38	-
Oct 13, 2022	1,930.74	2,026.38	1,921.75	2,017.94	2,017.94	-
Oct 12, 2022	1,975.94	1,984.77	1,967.61	1,969.25	1,969.25	-
Oct 11, 2022	1,982.29	2,003.65	1,962.22	1,975.25	1,975.25	-
Oct 10, 2022	2,010.61	2,011.00	1,975.12	1,988.51	1,988.51	-
Oct 07, 2022	2,044.14	2,044.14	1,994.69	2,004.78	2,004.78	-
Oct 06, 2022	2,078.78	2,092.28	2,061.08	2,063.69	2,063.69	-
Oct 05, 2022	2,064.94	2,096.14	2,049.97	2,083.85	2,083.85	-
Oct 04, 2022	2,049.48	2,088.79	2,049.48	2,088.39	2,088.39	-
Oct 03, 2022	1,989.46	2,034.12	1,982.89	2,023.50	2,023.50	-
Sep 30, 2022	1,999.67	2,019.24	1,971.66	1,972.29	1,972.29	-
Sep 29, 2022	2,040.96	2,040.96	1,984.20	2,000.55	2,000.55	-
Sep 28, 2022	2,007.08	2,053.56	2,000.67	2,044.06	2,044.06	-
Sep 27, 2022	2,016.78	2,040.37	1,989.55	2,002.63	2,002.63	-
Sep 26, 2022	2,023.47	2,040.53	2,000.70	2,005.46	2,005.46	-
Sep 23, 2022	2,054.37	2,054.37	2,002.82	2,027.81	2,027.81	-
Sep 22, 2022	2,083.86	2,084.44	2,060.38	2,064.07	2,064.07	-
Sep 21, 2022	2,129.10	2,149.53	2,085.12	2,085.36	2,085.36	-
Sep 20, 2022	2,139.12	2,139.12	2,106.76	2,121.42	2,121.42	-
